Level,Word,Hint,Letters,Category,Tier
1,cat,c_t,3,Animals,Easy
2,dog,d_g,3,Animals,Easy
3,sun,s_n,3,Basic,Easy
4,cup,c_p,3,Basic,Easy
5,hat,h_t,3,Basic,Easy
6,neck,ne_k,4,Basic,Easy
7,milk,mi_k,4,Basic,Easy
8,snap,sn_p,4,Basic,Easy
9,gold,g_ld,4,Basic,Easy
10,weed,w_ed,4,Basic,Easy
11,brat,br_t,4,Basic,Easy
12,tilt,ti_t,4,Basic,Easy
13,lamp,la_p,4,Basic,Easy
14,tube,tu_e,4,Basic,Easy
15,flag,f_ag,4,Basic,Easy
16,wake,wa_e,4,Basic,Easy
17,woke,wo_e,4,Slang,Easy
18,wide,wi_e,4,Basic,Easy
19,leaf,le_f,4,Basic,Easy
20,pain,pa_n,4,Basic,Easy
21,tiny,t_ny,4,Basic,Easy
22,bruh,b_uh,4,Slang,Easy
23,tone,t_ne,4,Basic,Easy
24,urge,u_ge,4,Basic,Easy
25,yeet,y_et,4,Slang,Easy
26,huge,hu_e,4,Basic,Easy
27,heat,h_at,4,Basic,Easy
28,wave,wa_e,4,Basic,Easy
29,page,p_ge,4,Basic,Easy
30,heal,h_al,4,Basic,Easy
31,rise,r_se,4,Basic,Easy
32,kick,k_ck,4,Basic,Easy
33,rank,ra_k,4,Basic,Easy
34,door,d_or,4,Basic,Easy
35,play,pl_y,4,Basic,Easy
36,cope,c_pe,4,Basic,Easy
37,rest,r_st,4,Basic,Easy
38,hype,h_pe,4,Basic,Easy
39,push,pu_h,4,Basic,Easy
40,mist,mi_t,4,Basic,Easy
41,open,o_en,4,Basic,Easy
42,stay,s_ay,4,Basic,Easy
43,fire,fi_e,4,Slang,Easy
44,lift,li_t,4,Basic,Easy
45,hunt,h_nt,4,Basic,Easy
46,goat,g_at,4,Slang,Easy
47,late,la_e,4,Basic,Easy
48,pool,p_ol,4,Basic,Easy
49,pose,po_e,4,Basic,Easy
50,stop,s_op,4,Basic,Easy
51,coin,c_in,4,Basic,Easy
52,view,vi_w,4,Basic,Easy
53,news,ne_s,4,Basic,Easy
54,dark,d_rk,4,Basic,Easy
55,port,po_t,4,Basic,Easy
56,wait,w_it,4,Basic,Easy
57,farm,fa_m,4,Basic,Easy
58,neat,ne_t,4,Basic,Easy
59,stem,st_m,4,Basic,Easy
60,time,ti_e,4,Basic,Easy
61,mask,m_sk,4,Basic,Easy
62,mint,m_nt,4,Basic,Easy
63,read,re_d,4,Basic,Easy
64,mark,m_rk,4,Basic,Easy
65,snow,s_ow,4,Basic,Easy
66,glow,g_ow,4,Basic,Easy
67,sand,s_nd,4,Basic,Easy
68,safe,s_fe,4,Basic,Easy
69,kiss,k_ss,4,Basic,Easy
70,tame,ta_e,4,Basic,Easy
71,love,l_ve,4,Basic,Easy
72,wild,wi_d,4,Basic,Easy
73,home,h_me,4,Basic,Easy
74,wind,wi_d,4,Basic,Easy
75,poem,p_em,4,Basic,Easy
76,face,f_ce,4,Basic,Easy
77,fave,f_ve,4,Basic,Easy
78,ball,ba_l,4,Basic,Easy
79,size,s_ze,4,Basic,Easy
80,spin,sp_n,4,Basic,Easy
81,skip,sk_p,4,Basic,Easy
82,slay,s_ay,4,Slang,Easy
83,pale,p_le,4,Basic,Easy
84,seat,s_at,4,Basic,Easy
85,mind,mi_d,4,Basic,Easy
86,roof,ro_f,4,Basic,Easy
87,task,t_sk,4,Basic,Easy
88,jump,j_mp,4,Basic,Easy
89,long,l_ng,4,Basic,Easy
90,knot,kn_t,4,Basic,Easy
91,cake,ca_e,4,Food,Easy
92,verb,v_rb,4,Basic,Easy
93,park,p_rk,4,Basic,Easy
94,pack,pa_k,4,Basic,Easy
95,song,s_ng,4,Basic,Easy
96,ride,r_de,4,Basic,Easy
97,head,he_d,4,Basic,Easy
98,yard,ya_d,4,Basic,Easy
99,rich,r_ch,4,Basic,Easy
100,fomo,f_mo,4,Slang,Easy
101,book,bo_k,4,Basic,Easy
102,slip,sl_p,4,Basic,Easy
103,vibe,vi_e,4,Slang,Easy
104,wire,wi_e,4,Basic,Easy
105,bone,bo_e,4,Basic,Easy
106,talk,t_lk,4,Basic,Easy
107,toad,to_d,4,Basic,Easy
108,lane,la_e,4,Basic,Easy
109,pink,p_nk,4,Basic,Easy
110,year,ye_r,4,Basic,Easy
111,true,t_ue,4,Basic,Easy
112,tour,to_r,4,Basic,Easy
113,need,ne_d,4,Basic,Easy
114,send,se_d,4,Basic,Easy
115,scar,sc_r,4,Basic,Easy
116,wool,w_ol,4,Basic,Easy
117,flex,fl_x,4,Slang,Easy
118,pace,p_ce,4,Basic,Easy
119,nail,n_il,4,Basic,Easy
120,hope,ho_e,4,Basic,Easy
121,work,w_rk,4,Basic,Easy
